,mean,std,skew,kurtosis,pct_positive,min,max,sharpe_approx
1d,0.00034162321087453023,0.00924142140393657,-0.6444456275703175,22.40784969861708,0.3772770853307766,-0.11588655197152964,0.09986289771268594,0.5868253498383076
5d,0.0016993195920593032,0.019620455520510883,-0.9076873493152544,8.729366833819247,0.5974088291746641,-0.1814076388264637,0.1324382000550112,0.6148670874494779
10d,0.0034263069819220567,0.026756124357493513,-1.360687668067866,8.582206449902,0.6279125630554888,-0.22570634084908947,0.13415943605127006,0.6428406563163415
21d,0.007274220207027365,0.038304022754653305,-1.4906114138960735,8.930916426434486,0.6782273603082851,-0.32082150297834056,0.21222070914261085,0.6578587875595905
