Date,Open,High,Low,Close,Volume
,NKE,NKE,NKE,NKE,NKE
2021-01-04,134.57118503521548,134.68422587825654,130.30372071675887,131.98056030273438,6178500
2021-01-05,130.567489737135,133.4501461746026,130.567489737135,133.04505920410156,4163100
2021-01-06,133.06396364045642,135.24951670407015,131.4436437828056,134.1002197265625,6072900
2021-01-07,134.90094994939113,137.1995439035761,134.71254367229741,136.54953002929688,5256900
2021-01-08,137.11472316415168,138.31112495449617,136.5023849744521,137.8683624267578,3950500
2021-01-11,137.53866595746072,138.57492193021827,136.40821404366446,138.52781677246094,4252000
2021-01-12,138.00968583305885,138.33940755582913,136.01255368226933,136.6437225341797,3678800
2021-01-13,136.4364371643293,136.71905365954973,134.1755195770379,134.7501678466797,3330100
2021-01-14,135.33423523897304,136.50236224576076,132.76244114451026,133.1110076904297,4104000
2021-01-15,132.4139359922055,134.12846599733007,131.77335184159372,132.56466674804688,6412400
2021-01-19,132.81901959752733,133.03568606928545,130.38854012799413,131.19869995117188,6537800
2021-01-20,132.24437535591497,134.91036631891816,131.89580868442155,134.5241241455078,4654400
2021-01-21,134.15670017150214,135.47555809287553,132.95088310782552,133.40306091308594,4011200
2021-01-22,132.91322874147147,133.65745291869416,131.23638849019216,131.27407836914062,4150500
2021-01-25,130.93490162304562,131.1138781831037,126.9312084803375,129.57835388183594,5998700
2021-01-26,129.77618537775183,129.86098039896729,126.90295804758848,127.27035522460938,5312300
2021-01-27,124.55725529706531,125.1601638330692,122.7202694744342,123.42680358886719,7815900
2021-01-28,124.68914085684519,128.4667380734694,123.87898116549874,126.91236877441406,6244600
2021-01-29,126.18699156847987,127.20440243114602,124.4913067973696,125.84785461425781,7166100
2021-02-01,127.52469482587537,128.16529324105727,125.5746681142146,127.84500122070312,4366800
2021-02-02,129.11676319307338,131.75449365720198,128.82473136703842,131.50013732910156,7132800
2021-02-03,131.60376068443688,131.94289765799394,130.01170140230715,130.5957794189453,4678600
2021-02-04,131.46246271247884,132.8755310733271,130.86896940109065,132.47987365722656,4533700
2021-02-05,133.14871019877708,137.13357309356448,133.1016050479347,136.70022583007812,6151500
2021-02-08,136.7379358171667,137.42563956909072,134.52413691390038,135.09878540039062,6304300
2021-02-09,135.27776180479864,135.8618255110534,133.48786643565265,133.57264709472656,3436300
2021-02-10,134.1943972483234,134.33571271764532,132.7342236455168,134.20382690429688,4125700
2021-02-11,134.71253881535705,135.98430629522292,134.15673528690246,135.2212371826172,3828700
2021-02-12,134.8161600765711,135.13645216321086,133.2052556122743,133.88352966308594,3637000
2021-02-16,135.0610377807512,135.0610377807512,132.8566551026299,133.49725341796875,4873400
2021-02-17,133.11102184172012,136.18208476196912,132.08419577514738,135.64512634277344,6437100
2021-02-18,134.69364956392374,136.96398246651043,133.0262395271112,136.68136596679688,4486800
2021-02-19,137.00165526280907,137.0676053403826,133.299423750269,133.78929138183594,7486000
2021-02-22,133.33714780552538,134.20384253645486,128.36314744490025,128.7493896484375,8985900
2021-02-23,128.14645131902236,128.90009061217182,123.95435161737548,128.24066162109375,10364100
2021-02-24,127.23267160360533,128.08052123608783,126.1870004523424,127.7884750366211,6360900
2021-02-25,129.625470839482,131.11389012920148,126.73338415902694,127.68484497070312,5674300
2021-02-26,128.28425931690583,129.18103354644592,125.88660536535632,127.2270278930664,6650200
2021-03-01,128.0388318764656,131.35212882847355,127.9066779514091,129.93618774414062,5717800
2021-03-02,129.85127006701126,130.5120398720817,128.01054903727885,129.34153747558594,5292700
2021-03-03,129.40756303721554,129.7096373612905,126.63231640048708,126.73615264892578,4888400
2021-03-04,126.4907410093151,127.55742127029345,122.88480401602077,124.64057159423828,7181500
2021-03-05,126.05653774533731,126.18869170095216,121.95031629349688,125.877197265625,5957100
2021-03-08,126.15091361538799,128.0294006866902,124.95207943401937,127.01935577392578,4983000
2021-03-09,127.91612162211112,130.26658917738234,127.85948627923447,128.3314666748047,5977800
2021-03-10,128.8506637057732,130.4553943656911,128.47308510474556,129.87957763671875,4519600
2021-03-11,131.38044650104246,134.2312119172704,130.79519546202056,133.27781677246094,5696500
2021-03-12,132.15450521053165,133.01351295128762,130.83296591990552,132.57928466796875,4143200
2021-03-15,132.81528879647198,136.87432333472438,132.7869711232504,136.81768798828125,5413900
2021-03-16,137.70501226020363,137.9598713169172,135.77932407617146,136.54393005371094,5623000
2021-03-17,135.1751804839148,137.9598618973492,135.1751804839148,136.70440673828125,5134400
2021-03-18,136.27960053593955,138.44127858734157,134.56159956590412,135.1468505859375,10188400
2021-03-19,132.1545078571829,134.85423623669897,127.91611881271757,129.78517150878906,24980400
2021-03-22,129.91733475597914,131.03120163115366,128.40699165354997,130.52146911621094,7537300
2021-03-23,130.72911848184367,132.7586281625449,128.8978324759363,129.43588256835938,5582600
2021-03-24,128.80345505801273,130.1910786593374,125.43352231458104,125.69783020019531,8157600
2021-03-25,119.93021247795325,122.13907710809836,118.41043514106931,121.43110656738281,18475800
2021-03-26,124.22524856369485,125.72614279719862,122.49779855008339,125.537353515625,10010500
2021-03-29,125.49015703343893,126.4058002053451,123.33792745922841,126.00933837890625,7153900
2021-03-30,124.93320497355381,125.87716567783848,123.86652476852902,125.49957275390625,6026600
2021-03-31,125.63175194457288,126.66066586230046,124.52731942686987,125.44296264648438,6878900
2021-04-01,127.14208535728457,127.14208535728457,124.80106655291087,125.1031265258789,5720600
2021-04-05,125.64119829370725,128.07660467730295,125.64119829370725,127.54798889160156,5508900
2021-04-06,127.85004964510591,129.9928446369643,127.36862043158493,129.47366333007812,4670100
2021-04-07,129.3131757772375,130.4931266002164,128.7184759532732,128.8883819580078,6646000
2021-04-08,129.586939624697,129.6152572968716,125.9338158771866,126.18867492675781,8748400
2021-04-09,126.43413642940745,127.90671325901494,126.0187912920922,127.85951232910156,6056800
2021-04-12,127.19871800598537,129.22822796779246,126.69841993347109,128.98280334472656,5638200
2021-04-13,128.0010666552934,128.36921072330918,125.92434175500325,126.0564956665039,8778200
2021-04-14,126.05652772854884,126.66066210673927,124.43292829016808,124.84825897216797,7354100
2021-04-15,125.54678536338851,126.55683032482419,125.24471099610729,126.17923736572266,6284800
2021-04-16,127.16097158073907,127.21760692676395,126.23587958333474,126.78337860107422,6852500
2021-04-19,126.77394020403273,126.84945879759844,124.74441581166386,125.1408920288086,5613600
2021-04-20,121.93141144297263,122.62049877492227,118.65586640506234,119.98685455322266,13268700
2021-04-21,120.43995157608148,123.02640927955957,120.23228625556462,122.62049865722656,7110900
2021-04-22,122.61106013890559,123.06415726179618,120.80809886757822,121.94084167480469,6442900
2021-04-23,121.70486434290436,123.32847814207449,121.26121599894098,122.8942642211914,7489000
2021-04-26,123.17745315297934,124.3196376843548,122.07302071694973,124.22525024414062,8217800
2021-04-27,124.6028059031451,125.34852847963596,124.04587257607122,124.7066421508789,5833100
2021-04-28,124.84822106429158,124.91430521863298,123.04526730418354,123.38509368896484,8195400
2021-04-29,124.38572858337056,126.6040279983206,123.87598164458724,125.79222106933594,6612500
2021-04-30,125.01815856140867,126.37746428649116,124.6500144611736,125.18806457519531,5643600
2021-05-03,125.89602402739976,126.91550323149382,125.15973589172563,125.57508087158203,5053000
2021-05-04,124.8199259470452,125.15975239321376,123.16799463444488,124.17803955078125,6129500
2021-05-05,125.26357979526729,126.69840406694246,124.67832878079452,124.8010482788086,6234200
2021-05-06,125.16921380304073,126.33971603242225,124.54619618847995,126.00933837890625,5201000
2021-05-07,127.43472192265396,131.55039203645214,127.17041402207337,130.08724975585938,10566700
2021-05-10,130.26661468535457,131.11617380225675,128.66188390692744,128.7562713623047,5669300
2021-05-11,130.62528223190984,130.62528223190984,127.44412497686281,129.43588256835938,8045400
2021-05-12,127.83117929428496,129.15273315458063,125.86773895612842,125.9149398803711,5865100
2021-05-13,126.20757265517616,127.46304241251156,125.0653880032346,126.12261962890625,6284300
2021-05-14,126.8116972566483,129.02056219092964,126.53795494750725,128.31259155273438,4367900
2021-05-17,128.6901826985051,129.3887189035526,127.90669347497463,128.7657012939453,3934200
2021-05-18,128.79400794615646,129.7662863732421,127.8594816117109,127.96331787109375,5664700
2021-05-19,125.99989776261434,126.46244379211689,124.5650875554438,125.50904846191406,5582300
2021-05-20,126.283073448376,126.6889840783672,124.78217924780314,125.8016586303711,4934800
2021-05-21,126.33027776345007,126.65122098407784,124.98985513285854,125.22584533691406,5329700
2021-05-24,125.64118426677811,126.82113522944996,125.36742757736721,126.54737854003906,4313200
2021-05-25,127.37810554701673,127.5952125540405,126.34919146622751,126.79285430908203,4885800
2021-05-26,127.62348461923685,130.19105889283395,127.43469535870416,129.21878051757812,6781500
2021-05-27,129.8418139971299,130.55921903679607,128.81290015763915,128.90728759765625,12882300
2021-05-28,128.86473860700644,129.91465003345417,128.72285010286998,129.0728302001953,4153500
2021-06-01,130.38757259057496,130.57674281511046,126.94462254608216,127.2283706665039,5577900
2021-06-02,127.304022912337,128.15531044663933,126.30140788032924,126.9067611694336,5226100
2021-06-03,125.9892705610278,127.39861522706866,125.3366211145576,126.9067611694336,5027400
2021-06-04,127.21892898684908,127.63511217902231,125.11910610471264,126.50007629394531,5217100
2021-06-07,126.7459808553739,127.88101660334712,126.2257519279971,126.69868469238281,3765000
2021-06-08,127.39864391835044,127.42701873260802,125.24207143818973,126.13118743896484,4915200
2021-06-09,126.38654317877143,127.59724986115457,124.3340167807819,124.7029037475586,6448100
2021-06-10,124.38129647870053,125.39337935495935,123.14221515001748,123.88944244384766,6584100
2021-06-11,124.38131746699943,124.84479677350751,123.46382674627203,124.79750061035156,5414500
2021-06-14,124.57048454672665,124.90154324771044,123.08548320384922,124.24889373779297,5743600
2021-06-15,124.41915604871211,124.61779417732355,122.8017339371834,123.23682403564453,5168100
2021-06-16,123.24628819034886,124.0691866279989,122.58418516966702,123.34086608886719,7915500
2021-06-17,122.24364759614853,122.84900086545083,120.93834874590654,121.94096374511719,8568100
2021-06-18,119.82225979904791,122.04504261413447,119.82225979904791,121.45861053466797,9784800
2021-06-21,122.2436615689956,123.68136672744767,121.73288612018702,123.0381851196289,6288500
2021-06-22,123.74758574655263,125.50689616309873,123.0854827796293,125.30825805664062,6043800
2021-06-23,125.62036719131812,126.46218672435712,125.0528566754571,125.8946762084961,4566000
2021-06-24,126.65140103350183,127.52161010671712,125.70553541134643,126.3676528930664,11420500
2021-06-25,144.15935769433838,146.22133746185884,142.33382985819017,145.9943389892578,46285400
2021-06-28,145.58759292468847,145.71056003865863,143.30805396756693,144.11204528808594,13133300
2021-06-29,144.9633404583958,147.93335753314167,144.63229619505313,147.50772094726562,10279900
2021-06-30,146.41051813056197,146.93074705538916,145.20927930649856,146.12677001953125,10281800
2021-07-01,145.7295321514712,149.64541548683863,145.55926882414312,149.44677734375,9011500
2021-07-02,149.6454169827183,151.3101353992916,149.10626661234897,151.09259033203125,6396700
2021-07-06,151.2628186347349,151.75467276714585,149.3143378902293,151.44253540039062,6671000
2021-07-07,151.48983764648438,152.75729408399917,149.71160570367854,151.48983764648438,5408300
2021-07-08,149.607536589353,152.11408869309787,148.83193442489753,151.9343719482422,6081600
2021-07-09,152.93696639877137,153.19235407717682,151.82083781249676,152.28431701660156,5002300
2021-07-12,152.8897037405249,153.63693115904707,152.01005572507114,153.05996704101562,4992200
2021-07-13,152.6154087367795,153.52343156143667,152.29380348831594,152.8424072265625,5747700
2021-07-14,153.10724232425602,153.92068722337262,152.60593476892672,152.79510498046875,4928000
2021-07-15,152.15189599463434,153.41935205992297,151.7073381394905,152.9369659423828,6432500
2021-07-16,152.87076565203182,152.94643661810275,150.99795614824995,151.19659423828125,6603700
2021-07-19,149.58863270637818,150.22237533311076,148.12255263296677,149.32379150390625,7377100
2021-07-20,148.74683303210273,151.74522553381226,148.10365129141476,151.09259033203125,4629200
2021-07-21,151.8114273532263,152.69107542511662,151.34794801784835,152.3600311279297,5393100
2021-07-22,152.38839278954788,154.88547715693548,152.21812949282753,154.8192596435547,4851500
2021-07-23,155.4530025301078,157.43931144385903,154.8665560989183,157.35418701171875,4217700
2021-07-26,156.7394006091038,157.51500292418663,154.95171513760064,156.1529541015625,3858800
2021-07-27,155.8975686851619,156.64479612790458,153.77882463281668,155.66110229492188,4359000
2021-07-28,155.58545406340727,156.9191137304309,155.19764566285616,156.50294494628906,4093600
2021-07-29,156.9190841144913,157.9879167713899,156.43669789471815,157.95008850097656,3605600
2021-07-30,157.57171534390955,158.78242191528633,157.3447168822519,158.44190979003906,5364400
2021-08-02,159.90800784519976,160.77820231190847,158.9337676035171,159.6147918701172,5532500
2021-08-03,160.05935636806444,162.21592849016403,159.36887861449824,161.96054077148438,5718100
2021-08-04,162.08354600582507,163.01049034536948,161.7052055010868,162.60377502441406,4646200
2021-08-05,162.13080660539157,164.58059475308323,161.91324715177302,164.438720703125,3824000
2021-08-06,164.92111986598252,164.94004121838452,163.35097957016714,163.44557189941406,4088700
2021-08-09,163.16179121851692,163.69147356482506,162.32942499845473,162.4713134765625,3612800
2021-08-10,162.272688763751,164.5427747058473,162.1497216258015,162.9442596435547,3747100
2021-08-11,162.68886031807094,163.84281734238982,161.68624523232936,161.99838256835938,4078300
2021-08-12,161.63896272460417,162.04569241478816,160.30528883967668,161.40249633789062,3997100
2021-08-13,161.22276676092687,162.42401995113096,159.64317315515638,162.39564514160156,2966200
2021-08-16,161.45923302312548,163.0672014373725,160.47553928363982,163.0293731689453,3530200
2021-08-17,162.25376910094175,162.4051110518762,160.21071049437845,161.42141723632812,3602900
2021-08-18,160.5606704548043,162.49969763845453,159.5296805119177,159.6715545654297,5487400
