Date,Open,High,Low,Close,Volume,daily_return,log_return,close_lag_1,close_lag_3,close_lag_7,sma_10,ema_10,macd,rsi_14,roc_5,bb_mavg,bb_high,bb_low,atr,obv,volume_change,future_return,target
2021-05-19,1.5999999959603883e-05,1.5999999959603883e-05,6.000000212225132e-06,9.000000318337698e-06,3271067996.0,-0.4374999786837179,-0.57536410700795,1.5999999959603883e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.990000009755022e-05,1.5345418815901837e-05,-1.3767832194591659e-06,46.902316241146394,-52.6315751683044,1.2400000048273797e-05,3.2192928189568486e-05,-7.392928093020892e-06,5.370740059249535e-06,16229043415.0,0.8763625095078076,0.2222221885372344,1
2021-05-20,9.000000318337698e-06,1.2000000424450263e-05,7.999999979801942e-06,9.999999747378752e-06,2507945867.0,0.11111104374113556,0.10536045502484646,9.000000318337698e-06,1.5999999959603883e-05,2.099999983329326e-05,1.739999997880659e-05,1.437352443980673e-05,-1.623392665987939e-06,48.20201229027105,-37.50000142108548,1.280000003589521e-05,3.205201303488056e-05,-6.452012963090144e-06,5.27283008677802e-06,18736989282.0,-0.2332944866732144,-0.09999994543031654,0
2021-05-21,9.999999747378752e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,1547207565.0,-0.19999998181010548,-0.22314352857684186,9.999999747378752e-06,1.5999999959603883e-05,1.8999999156221747e-05,1.5100000018719583e-05,1.321470181071495e-05,-1.8600607718714227e-06,45.78803539758217,-55.55555723980494,1.3100000035137783e-05,3.1849933486906e-05,-5.649933416630433e-06,5.1104850556771056e-06,17189781717.0,-0.3830777668057219,0.24999997157829057,1
2021-05-22,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,1229821215.0,0.0,0.0,7.999999979801942e-06,9.000000318337698e-06,1.5999999959603883e-05,1.4099999953032239e-05,1.2266574205094403e-05,-1.9462165372949706e-06,45.78803539758217,-50.0,1.3400000034380355e-05,3.161428026671477e-05,-4.814280197954059e-06,4.9597360982262565e-06,18419602932.0,-0.20513495227125522,0.12500004263256415,1
2021-05-23,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,1585032040.0,0.0,0.0,7.999999979801942e-06,9.999999747378752e-06,1.8000000636675395e-05,1.2799999967683107e-05,1.149083343685941e-05,-1.9290818348700407e-06,45.78803539758216,-50.0,1.3700000033622928e-05,3.134199550811263e-05,-3.941995440866773e-06,4.819754923450468e-06,20004634972.0,0.2888312712998693,0.0,0
2021-05-24,7.999999979801942e-06,1.2000000424450263e-05,7.999999979801942e-06,1.1000000085914508e-05,2179651359.0,0.3750000142108547,0.31845374145370164,7.999999979801942e-06,7.999999979801942e-06,1.5999999959603883e-05,1.2000000060652382e-05,1.1401591009414881e-05,-1.6522551317418e-06,50.43812227008322,22.222218853723447,1.4150000038171128e-05,3.1017424384172496e-05,-2.7174243078302395e-06,4.761201032107458e-06,22184286331.0,0.3751465610751945,-0.2727272802437578,0
2021-05-25,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,1415340765.0,-0.18181815926872658,-0.20067066790170623,1.1000000085914508e-05,7.999999979801942e-06,1.5999999959603883e-05,1.1300000096525764e-05,1.0964938156491757e-05,-1.5424927142206196e-06,47.51218962538139,-9.99999454303165,1.4500000054340489e-05,3.061831272147814e-05,-1.6183126127971586e-06,4.563972370355268e-06,20768945566.0,-0.3506572694959148,-0.11111114479609885,0
2021-05-26,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,994520516.0,0.11111104374113556,0.10536045502484646,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,1.05000000075961e-05,1.07894948093803e-05,-1.3482282885522223e-06,49.10205429552906,24.99999715782905,1.4900000041961903e-05,3.013023324867291e-05,-3.302331647491018e-07,4.309402874547109e-06,21763466082.0,-0.29732786577372416,-0.09999994543031654,0
2021-05-27,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,679602960.0,-0.09999994543031654,-0.10536045502484652,9.999999747378752e-06,1.1000000085914508e-05,9.999999747378752e-06,9.800000043469481e-06,1.0464132174645283e-05,-1.2357456732260128e-06,47.55093414651106,12.500004263256425,1.520000005257316e-05,2.969965532980116e-05,7.003447753451568e-07,4.0730169141538194e-06,21083863122.0,-0.3166526491244349,0.0,0
2021-05-28,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,690703669.0,-0.11111114479609885,-0.11778307355199538,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000045489286e-06,1.001610813921922e-05,-1.1776023804963396e-06,45.98648632321507,0.0,1.4800000053583063e-05,2.962700256255327e-05,-2.7002455387145754e-08,3.8535157301811004e-06,20393159453.0,0.016334109256969764,0.12500004263256415,1
2021-05-29,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,502184994.0,0.0,0.0,7.999999979801942e-06,9.999999747378752e-06,7.999999979801942e-06,8.900000011635711e-06,9.64954301932517e-06,-1.0900642104728372e-06,45.98648632321507,-27.27272802437578,1.4400000054592965e-05,2.9504966246214687e-05,-7.049661370287562e-07,3.649693169724479e-06,20895344447.0,-0.27293712696348804,0.24999997157829057,1
